City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
152,Klaksvik,FO,2022-09-26 03:30:10,62.2266,-6.589,41.92,85,100,49.53
153,Sorbhog,IN,2022-09-26 03:30:10,26.5,90.8667,83.84,72,79,7.99
154,Bull Savanna,JM,2022-09-26 03:30:11,17.8868,-77.5902,77.45,88,100,13.47
155,Hualmay,PE,2022-09-26 03:30:11,-11.0964,-77.6139,60.49,85,78,9.78
156,Hua Hin,TH,2022-09-26 03:30:12,12.5707,99.9588,88.02,97,40,2.3
157,Kavieng,PG,2022-09-26 03:30:13,-2.5744,150.7967,84.81,68,14,10.49
158,Kodinsk,RU,2022-09-26 03:30:15,58.6881,99.1844,37.51,82,100,4.23
159,Meiganga,CM,2022-09-26 03:30:15,6.5167,14.3,63.99,95,100,1.41
160,Navlya,RU,2022-09-26 03:30:15,52.8281,34.4989,39.34,82,95,4.74
161,Touros,BR,2022-09-26 03:22:02,-5.1989,-35.4608,75.85,80,0,12.8
162,Kalmunai,LK,2022-09-26 03:30:16,7.4167,81.8167,85.1,61,93,2.95
163,Ordu,TR,2022-09-26 03:30:17,40.9086,37.6845,41.5,50,0,6.62
164,Yerbogachen,RU,2022-09-26 03:30:17,61.2767,108.0108,35.56,81,100,4.65
165,Hyeres,FR,2022-09-26 03:30:18,43.1167,6.1167,61.74,72,0,0.0
166,Awjilah,LY,2022-09-26 03:30:18,29.1081,21.2869,71.83,68,0,7.16
167,Kemijarvi,FI,2022-09-26 03:30:18,66.7131,27.4306,39.45,92,100,6.06
168,Nowy Dwor Gdanski,PL,2022-09-26 03:30:19,54.2131,19.1177,51.67,83,40,7.07
169,Pitmoaga,BF,2022-09-26 03:30:19,12.2397,-1.8767,76.62,79,85,6.89
170,Rafraf,TN,2022-09-26 03:30:20,37.1904,10.1837,71.91,83,100,2.28
171,Tiksi,RU,2022-09-26 03:22:08,71.6872,128.8694,35.06,76,100,24.18
172,Dikson,RU,2022-09-26 03:22:00,73.5069,80.5464,32.72,80,100,17.34
173,Pevek,RU,2022-09-26 03:30:20,69.7008,170.3133,33.58,66,33,4.68
174,Omsukchan,RU,2022-09-26 03:30:21,62.5333,155.8,35.64,64,15,0.87
175,Lahaina,US,2022-09-26 03:30:02,20.8783,-156.6825,89.6,80,15,6.58
176,Port Hardy,CA,2022-09-26 03:30:22,50.6996,-127.4199,55.58,100,0,0.0
177,Maniitsoq,GL,2022-09-26 03:30:22,65.4167,-52.9,43.93,92,100,11.3
178,Maumere,ID,2022-09-26 03:30:23,-8.6199,122.2111,86.02,61,35,3.78
179,Vila Franca Do Campo,PT,2022-09-26 03:31:23,37.7167,-25.4333,67.19,75,78,9.69
180,Mareeba,AU,2022-09-26 03:31:24,-17.0,145.4333,90.45,52,7,10.11
181,Sakakah,SA,2022-09-26 03:31:24,29.9697,40.2064,76.57,38,0,6.31
182,Kruisfontein,ZA,2022-09-26 03:21:57,-34.0033,24.7314,56.88,88,100,5.35
183,Aripuana,BR,2022-09-26 03:31:25,-9.1667,-60.6333,77.59,48,21,0.51
184,Aklavik,CA,2022-09-26 03:31:26,68.2191,-135.0107,37.65,84,100,3.0
185,Calama,CL,2022-09-26 03:31:26,-22.4667,-68.9333,37.89,13,0,18.41
186,Tuktoyaktuk,CA,2022-09-26 03:31:27,69.4541,-133.0374,32.0,80,100,11.5
187,Kuching,MY,2022-09-26 03:31:27,1.55,110.3333,84.42,79,40,8.05
188,Itoman,JP,2022-09-26 03:31:28,26.1247,127.6694,89.98,71,75,10.36
189,Ancud,CL,2022-09-26 03:31:28,-41.8697,-73.8203,50.23,94,100,17.67
190,Ous,RU,2022-09-26 03:31:28,60.9058,61.5186,31.82,67,7,10.38
191,Isangel,VU,2022-09-26 03:31:29,-19.55,169.2667,78.91,89,40,4.61
192,Iqaluit,CA,2022-09-26 03:31:29,63.7506,-68.5145,29.93,86,0,9.22
193,Norman Wells,CA,2022-09-26 03:31:30,65.282,-126.8329,41.04,81,40,3.44
194,Cap-Aux-Meules,CA,2022-09-26 03:27:57,47.3821,-61.8597,57.22,72,100,11.5
195,Terre Haute,US,2022-09-26 03:31:30,39.4667,-87.4139,61.97,77,40,5.75
196,Arkhangelskaya,RU,2022-09-26 03:31:31,45.6796,40.2754,52.21,85,79,7.45
197,Haines Junction,CA,2022-09-26 03:31:31,60.7522,-137.5108,46.35,61,100,2.3
198,Oktyabrskoye,RU,2022-09-26 03:31:31,43.0645,44.7417,37.54,93,4,4.47
199,Paamiut,GL,2022-09-26 03:31:32,61.994,-49.6678,45.37,95,100,20.18
200,Kirovsk,UA,2022-09-26 03:31:32,48.6375,38.6428,51.13,59,99,5.59
201,Laguna,US,2022-09-26 03:31:32,38.421,-121.4238,86.31,50,0,6.91
202,Saint Stephen,GB,2022-09-26 03:29:32,50.3333,-4.9,59.27,94,75,21.85
203,Port Augusta,AU,2022-09-26 03:31:33,-32.5,137.7667,61.99,65,98,18.3
204,Ushtobe,KZ,2022-09-26 03:31:33,45.2514,77.9838,80.11,20,0,9.19
205,Kristiansund,NO,2022-09-26 03:31:34,63.1115,7.732,52.45,62,20,5.75
206,Georgetown,MY,2022-09-26 03:31:34,5.4112,100.3354,87.75,66,20,5.01
207,Namibe,AO,2022-09-26 03:31:35,-15.1961,12.1522,63.14,72,84,7.14
208,Gangtok,IN,2022-09-26 03:31:36,27.3333,88.6167,68.07,83,98,3.11
209,Basna,IN,2022-09-26 03:27:00,21.2833,82.8167,80.06,78,95,1.03
210,Moree,AU,2022-09-26 03:31:36,-29.4667,149.85,72.18,35,100,8.01
211,North Platte,US,2022-09-26 03:31:37,41.1239,-100.7654,61.38,53,0,8.01
212,Chipata,ZM,2022-09-26 03:31:37,-13.6333,32.65,64.72,54,3,6.67
213,Pacific Grove,US,2022-09-26 03:31:38,36.6177,-121.9166,61.21,86,100,3.44
